run_item_id,created_at,topic,grade,grade_key,title,text_gen_provider,text_gen_model_id,question_gen_provider,question_gen_model_id,text_eval_provider,text_eval_model_id,question_eval_provider,question_eval_model_id,model_provider,model_id,eval_provider,eval_model_id,word_count_target,word_count_actual,word_count_diff,word_count_ok,lix_target,lix_min,lix_max,lix_actual,lix_diff,lix_in_band,avg_sentence_length,long_word_pct,paragraph_lix_values,question_count_target,question_count_actual,question_count_ok,questions_complete_ok,text_ai_overall_score,question_ai_overall_score,text_approved,questions_approved,overall_approved,error
d0bde096-3ea9-4893-a293-d74ff0b0bd25,2026-05-29T13:41:43,rainforests and biodiversity,3rd Grade,grade_3,Rainforests,openai,gpt-4o-mini,,,,,,,openai,gpt-4o-mini,,,400,419,19,True,20.0,15.0,24.0,29.1,9.1,False,11.6,17.4,"29.8, 20.1, 23.1, 23.7, 36.3, 46.0, 33.4",,,,,,,False,False,False,
fd999877-65fe-4ea3-b4fa-9be11fd2f8af,2026-05-29T13:43:03,rainforests and biodiversity,6th Grade,grade_6,Rainforests and Biodiversity,openai,gpt-4o-mini,,,,,,,openai,gpt-4o-mini,,,400,424,24,False,34.0,30.0,39.0,36.2,2.2,True,12.8,23.3,"31.2, 34.7, 42.6, 24.8, 46.1, 37.2, 44.3",,,,,,,False,False,False,
064ce446-16df-4c77-9119-2c63e4da1ea2,2026-05-29T13:44:21,rainforests and biodiversity,9th Grade,grade_9,Rainforests and Biodiversity,openai,gpt-4o-mini,,,,,,,openai,gpt-4o-mini,,,400,370,-30,False,46.0,42.0,50.0,44.9,-1.1,True,15.4,29.5,"36.9, 45.0, 43.8, 51.6, 51.0",,,,,,,False,False,False,
